Game Result,Total Moves,Average Game Time,Final Game Board
Agent 1 (opp_1),13,6.00,"[[[[ 1  1  1]
   [ 0 -1  0]
   [ 0  0  0]]

  [[-1  1  0]
   [ 0 -1  0]
   [ 0  0 -1]]

  [[-1  0  0]
   [ 0 -1  0]
   [ 0  0 -1]]]


 [[[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  1  1]
   [ 0  1  0]
   [ 1  0  0]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]]


 [[[ 0  0  0]
   [ 0 -1  0]
   [ 1  0 -1]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  0  1]
   [ 0  1  1]
   [-1  0  1]]]]"
Agent 1 (opp_1),13,5.96,"[[[[ 1  1  1]
   [ 0 -1  0]
   [ 0  0  0]]

  [[-1  1  0]
   [ 0 -1  0]
   [ 0  0 -1]]

  [[-1  0  0]
   [ 0 -1  0]
   [ 0  0 -1]]]


 [[[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  1  1]
   [ 0  1  0]
   [ 1  0  0]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]]


 [[[ 0  0  0]
   [ 0 -1  0]
   [ 1  0 -1]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  0  1]
   [ 0  1  1]
   [-1  0  1]]]]"
Agent 1 (opp_1),13,6.02,"[[[[ 1  1  1]
   [ 0 -1  0]
   [ 0  0  0]]

  [[-1  1  0]
   [ 0 -1  0]
   [ 0  0 -1]]

  [[-1  0  0]
   [ 0 -1  0]
   [ 0  0 -1]]]


 [[[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  1  1]
   [ 0  1  0]
   [ 1  0  0]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]]


 [[[ 0  0  0]
   [ 0 -1  0]
   [ 1  0 -1]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  0  1]
   [ 0  1  1]
   [-1  0  1]]]]"
Agent 1 (opp_1),13,5.97,"[[[[ 1  1  1]
   [ 0 -1  0]
   [ 0  0  0]]

  [[-1  1  0]
   [ 0 -1  0]
   [ 0  0 -1]]

  [[-1  0  0]
   [ 0 -1  0]
   [ 0  0 -1]]]


 [[[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  1  1]
   [ 0  1  0]
   [ 1  0  0]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]]


 [[[ 0  0  0]
   [ 0 -1  0]
   [ 1  0 -1]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  0  1]
   [ 0  1  1]
   [-1  0  1]]]]"
Agent 1 (opp_1),13,5.98,"[[[[ 1  1  1]
   [ 0 -1  0]
   [ 0  0  0]]

  [[-1  1  0]
   [ 0 -1  0]
   [ 0  0 -1]]

  [[-1  0  0]
   [ 0 -1  0]
   [ 0  0 -1]]]


 [[[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  1  1]
   [ 0  1  0]
   [ 1  0  0]]

  [[-1  0  0]
   [ 0  0  0]
   [ 0  0  0]]]


 [[[ 0  0  0]
   [ 0 -1  0]
   [ 1  0 -1]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[-1  0  1]
   [ 0  1  1]
   [-1  0  1]]]]"
Agent 1 (ab),16,142.99,"[[[[ 1  1  1]
   [ 0 -1  0]
   [ 0  0  0]]

  [[-1  1 -1]
   [ 0 -1  0]
   [-1  0  0]]

  [[-1  0  1]
   [-1 -1  1]
   [ 0  0  1]]]


 [[[-1  0  0]
   [ 1  1  1]
   [ 0  0  0]]

  [[-1  1  1]
   [ 0  1  0]
   [ 1  0  0]]

  [[ 0  0 -1]
   [ 0 -1  0]
   [ 0  0  0]]]


 [[[-1  0  0]
   [ 0 -1  0]
   [ 1  0  1]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[ 0 -1  0]
   [ 0 -1  0]
   [ 0  0  0]]]]"
Agent 1 (ab),16,143.50,"[[[[ 1  1  1]
   [ 0 -1  0]
   [ 0  0  0]]

  [[-1  1 -1]
   [ 0 -1  0]
   [-1  0  0]]

  [[-1  0  1]
   [-1 -1  1]
   [ 0  0  1]]]


 [[[-1  0  0]
   [ 1  1  1]
   [ 0  0  0]]

  [[-1  1  1]
   [ 0  1  0]
   [ 1  0  0]]

  [[ 0  0 -1]
   [ 0 -1  0]
   [ 0  0  0]]]


 [[[-1  0  0]
   [ 0 -1  0]
   [ 1  0  1]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[ 0 -1  0]
   [ 0 -1  0]
   [ 0  0  0]]]]"
Agent 1 (ab),16,144.64,"[[[[ 1  1  1]
   [ 0 -1  0]
   [ 0  0  0]]

  [[-1  1 -1]
   [ 0 -1  0]
   [-1  0  0]]

  [[-1  0  1]
   [-1 -1  1]
   [ 0  0  1]]]


 [[[-1  0  0]
   [ 1  1  1]
   [ 0  0  0]]

  [[-1  1  1]
   [ 0  1  0]
   [ 1  0  0]]

  [[ 0  0 -1]
   [ 0 -1  0]
   [ 0  0  0]]]


 [[[-1  0  0]
   [ 0 -1  0]
   [ 1  0  1]]

  [[ 0  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[ 0 -1  0]
   [ 0 -1  0]
   [ 0  0  0]]]]"
Agent 1 (ab),19,154.06,"[[[[ 1  1  1]
   [ 0 -1  0]
   [ 0  0  0]]

  [[-1  1 -1]
   [ 0 -1  0]
   [-1  0  0]]

  [[-1  0  1]
   [-1 -1  1]
   [ 0  0  1]]]


 [[[ 1  0  0]
   [ 1 -1  0]
   [ 1  0  0]]

  [[-1  1  1]
   [ 0  1  0]
   [ 1  0  0]]

  [[ 1 -1  1]
   [ 0 -1 -1]
   [ 1  1  0]]]


 [[[-1  0  0]
   [-1 -1 -1]
   [ 1  0  0]]

  [[ 0  0  0]
   [ 0 -1  0]
   [ 0  0  0]]

  [[ 0  0  0]
   [ 0 -1  0]
   [ 0  0  0]]]]"
Agent 1 (ab),19,154.49,"[[[[ 1  1  1]
   [ 0 -1  0]
   [ 0  0  0]]

  [[-1  1 -1]
   [ 0 -1  0]
   [-1  0  0]]

  [[-1  0  1]
   [-1 -1  1]
   [ 0  0  1]]]


 [[[ 1  0  0]
   [ 1 -1  0]
   [ 1  0  0]]

  [[-1  1  1]
   [ 0  1  0]
   [ 1  0  0]]

  [[ 1 -1  1]
   [ 0 -1 -1]
   [ 1  1  0]]]


 [[[-1  0  0]
   [-1 -1 -1]
   [ 1  0  0]]

  [[ 0  0  0]
   [ 0 -1  0]
   [ 0  0  0]]

  [[ 0  0  0]
   [ 0 -1  0]
   [ 0  0  0]]]]"
