Game Result,Total Moves,Average Game Time,Final Game Board
Agent 1 (random),12,0.06,"[[[[ 0  0  0]
   [-1 -1 -1]
   [ 0  0  0]]

  [[ 0  0  0]
   [ 0  0 -1]
   [ 0  0  0]]

  [[ 0  0  0]
   [ 0 -1  0]
   [ 0  0  0]]]


 [[[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 1  0  1]
   [-1  0 -1]
   [ 0 -1 -1]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]]


 [[[ 0  0  0]
   [ 0 -1  0]
   [ 0  0  0]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  0]]

  [[ 0  0  0]
   [-1  1  0]
   [ 1 -1  0]]]]"
Agent 1 (random),22,0.08,"[[[[ 0 -1  1]
   [ 0  1 -1]
   [ 1 -1 -1]]

  [[ 0  1  0]
   [ 0  1 -1]
   [-1  1  0]]

  [[ 1  0  0]
   [ 0  1 -1]
   [ 0  0 -1]]]


 [[[ 0  0 -1]
   [ 1  1  1]
   [ 0 -1 -1]]

  [[-1 -1 -1]
   [ 0  0 -1]
   [ 0 -1 -1]]

  [[ 0  1  0]
   [ 0  1 -1]
   [ 0  1  0]]]


 [[[ 0  0  1]
   [-1  1 -1]
   [ 0  0 -1]]

  [[ 0  0  0]
   [ 1  1  1]
   [ 0  0 -1]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]]]"
Agent 1 (random),23,0.08,"[[[[ 1 -1 -1]
   [-1  1 -1]
   [-1  0 -1]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 0  0  0]
   [ 1  1  1]
   [-1  0  0]]]


 [[[ 1 -1 -1]
   [-1  1  0]
   [ 0  0  1]]

  [[ 0 -1 -1]
   [ 0 -1  0]
   [-1  1  0]]

  [[ 1 -1  0]
   [ 0  1  0]
   [-1 -1  1]]]


 [[[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 0  0  0]
   [ 1  1  1]
   [-1  0  0]]

  [[ 1 -1 -1]
   [-1  1 -1]
   [ 0 -1  0]]]]"
Agent 1 (random),20,0.09,"[[[[ 1 -1  0]
   [ 0  1  0]
   [-1 -1 -1]]

  [[ 0 -1  0]
   [ 1  1  1]
   [ 0  0 -1]]

  [[-1 -1  0]
   [ 0  0  0]
   [ 0  0  0]]]


 [[[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[-1  0  0]
   [-1 -1  0]
   [-1 -1  1]]

  [[ 0  0  0]
   [-1  1  0]
   [ 0  1 -1]]]


 [[[ 1 -1  0]
   [ 0  1 -1]
   [ 0  0  0]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0 -1  1]]

  [[ 1  1  1]
   [-1  1  0]
   [ 0  0 -1]]]]"
Agent 1 (random),13,0.07,"[[[[ 0  1 -1]
   [ 0  1  0]
   [-1  0 -1]]

  [[ 0  0 -1]
   [ 0  1  0]
   [ 0  0  0]]

  [[ 1 -1  0]
   [ 0  1  0]
   [ 0  0  0]]]


 [[[ 1  0  0]
   [-1  1  0]
   [ 0  0  1]]

  [[-1  0  0]
   [-1  0  0]
   [-1  0  0]]

  [[ 0  0  0]
   [ 0  0  0]
   [-1 -1  0]]]


 [[[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 0  0  0]
   [ 0  1  0]
   [ 0  0  0]]

  [[-1  0  0]
   [-1  1  0]
   [ 0  0  0]]]]"
Agent 1 (random),21,0.09,"[[[[ 0 -1 -1]
   [ 0 -1 -1]
   [ 0  0 -1]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0 -1  1]]

  [[ 1  0 -1]
   [ 0  1  0]
   [ 0  0  1]]]


 [[[ 1 -1  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 1 -1  0]
   [ 0 -1  0]
   [ 1 -1 -1]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]]


 [[[ 1  0  0]
   [-1  0  0]
   [-1 -1  0]]

  [[ 1 -1  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 1 -1  1]
   [-1  1 -1]
   [ 0 -1 -1]]]]"
Agent 1 (random),22,0.09,"[[[[-1 -1 -1]
   [-1  1  1]
   [ 0 -1 -1]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 1  0  0]
   [ 0  1 -1]
   [ 0  0  1]]]


 [[[ 1 -1 -1]
   [-1  1  0]
   [-1  0  1]]

  [[-1 -1 -1]
   [ 0  0  0]
   [ 0  0 -1]]

  [[ 1  0  1]
   [-1  1  0]
   [ 0  0 -1]]]


 [[[ 0 -1  0]
   [ 0  1  1]
   [ 0  0 -1]]

  [[ 1  0  0]
   [ 0  1 -1]
   [ 0  0  0]]

  [[ 1  1  1]
   [ 0  1 -1]
   [ 0  0 -1]]]]"
Agent 1 (random),21,0.11,"[[[[ 1 -1 -1]
   [-1  1  0]
   [-1 -1 -1]]

  [[ 1  0 -1]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 0  1 -1]
   [ 0  1  0]
   [ 0  1  0]]]


 [[[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[-1 -1  0]
   [-1  0 -1]
   [-1  0 -1]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  0]]]


 [[[ 1 -1  0]
   [ 0  1  0]
   [ 0 -1 -1]]

  [[ 1 -1  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[-1  0  1]
   [-1  1 -1]
   [ 1  0  0]]]]"
Agent 2 (random),20,0.11,"[[[[ 1 -1  0]
   [ 0  1  0]
   [-1  0  1]]

  [[ 0 -1 -1]
   [ 1  1  1]
   [ 0 -1 -1]]

  [[ 1  0  0]
   [ 0  1 -1]
   [-1  0  0]]]


 [[[ 0  0  0]
   [ 0 -1  0]
   [ 0  0 -1]]

  [[-1  1 -1]
   [ 0 -1 -1]
   [ 0 -1 -1]]

  [[ 1  0  0]
   [ 0  1 -1]
   [ 0  0  1]]]


 [[[-1  1  0]
   [ 0  1  0]
   [ 0  0  0]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 1 -1  0]
   [ 0  1  0]
   [-1  0  1]]]]"
Agent 2 (random),15,0.07,"[[[[ 0  0  0]
   [-1 -1 -1]
   [ 0  0  0]]

  [[ 0  0  0]
   [ 0  1  0]
   [ 0  0 -1]]

  [[ 1  0  0]
   [ 0  1 -1]
   [ 0  0  0]]]


 [[[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 0 -1 -1]
   [-1  1 -1]
   [-1  0 -1]]

  [[ 0  1 -1]
   [ 0  1  0]
   [ 0  1  0]]]


 [[[ 1  0  0]
   [-1  1  0]
   [ 0  0  0]]

  [[-1  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[ 0  0  0]
   [ 1  1  1]
   [ 0  0 -1]]]]"
Agent 2 (random),15,0.06,"[[[[-1  1 -1]
   [ 0  1  0]
   [ 0  1  0]]

  [[ 0  0 -1]
   [ 0  0 -1]
   [ 1  0  1]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]]


 [[[ 0  0  0]
   [ 0  1  0]
   [ 0  0  0]]

  [[-1  0 -1]
   [ 0  0 -1]
   [ 0 -1 -1]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  0]]]


 [[[-1  0  0]
   [ 0  0  0]
   [ 0  0  0]]

  [[ 1 -1  0]
   [ 0  1  0]
   [ 0 -1  1]]

  [[-1 -1  0]
   [ 0  1  0]
   [ 0 -1  0]]]]"
Agent 2 (random),16,0.08,"[[[[ 0  0  1]
   [ 0  1 -1]
   [ 1 -1 -1]]

  [[-1  1  0]
   [ 0  1  0]
   [-1  0  0]]

  [[-1  0  0]
   [ 0  1  0]
   [ 0  0 -1]]]


 [[[ 0 -1  0]
   [ 0  1  0]
   [ 0  0 -1]]

  [[ 0  0  0]
   [-1  0  0]
   [-1 -1 -1]]

  [[ 0  0  0]
   [ 0  1  0]
   [ 0  0  0]]]


 [[[ 1 -1 -1]
   [ 0  1  0]
   [-1  0  1]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  0]]

  [[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]]]"
Agent 2 (random),23,0.07,"[[[[ 1 -1 -1]
   [-1  1 -1]
   [-1 -1  0]]

  [[ 0 -1  0]
   [ 1  1  1]
   [ 0 -1  0]]

  [[ 1 -1 -1]
   [ 0  1  0]
   [ 0  0  1]]]


 [[[ 1  0  0]
   [-1  1  0]
   [ 0  0  1]]

  [[ 0  0 -1]
   [-1  0 -1]
   [ 0 -1 -1]]

  [[ 0  1  0]
   [ 0  1 -1]
   [ 0  1  0]]]


 [[[ 1  0  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[ 1 -1  0]
   [ 0  1  0]
   [ 0  0  1]]

  [[-1 -1  1]
   [ 1  1  0]
   [-1 -1 -1]]]]"
