Operation;Request time;Response time;#NAME?;the average request time;#VALUE!
GetTrackingData;5/3/2023 23:45:23.061;0;#VALUE!;44927,90179;44927,42586
GetTrackingData;1/1/2023 10:00:23.000;01.01.23 10:00;;;1,15741E-05
SetPayment;01.01.23 10:13;00.01.00 00:00;;;
SetPayment;01.01.23 10:26;01.01.23 10:26;;;
SetDeliveryAddress;01.01.23 10:51;01.01.23 10:51;;;
ModifyOrder;01.01.23 11:04;01.01.23 11:04;;;
GetItem;01.01.23 11:17;01.01.23 11:17;;;
GetPaymentMethods;01.01.23 11:43;01.01.23 11:43;;;
SetDeliveryAddress;01.01.23 12:08;01.01.23 12:08;;;
GetPaymentMethods;01.01.23 12:21;01.01.23 12:21;;;
GetItem;01.01.23 12:34;01.01.23 12:34;;;
SetPayment;01.01.23 12:47;01.01.23 12:47;;;
ModifyItem;01.01.23 13:13;01.01.23 13:13;;;
ModifyItem;01.01.23 13:26;01.01.23 13:26;;;
ModifyOrder;01.01.23 13:38;01.01.23 13:38;;;
GetPaymentMethods;01.01.23 13:51;01.01.23 13:51;;;
GetItem;01.01.23 14:04;01.01.23 14:04;;;
GetPaymentMethods;01.01.23 14:17;01.01.23 14:17;;;
GetTrackingData;01.01.23 14:30;01.01.23 14:30;;;
ModifyItem;1/1/2023 14:43:10.060;01.01.23 14:43;;;
ModifyItem;01.01.23 14:56;01.01.23 14:56;;;
AddItemToOrder;01.01.23 15:08;01.01.23 15:08;;;
GetOrder;01.01.23 15:34;01.01.23 15:34;;;
GetPaymentMethods;01.01.23 15:47;01.01.23 15:47;;;
GetOrderList;01.01.23 16:00;01.01.23 16:00;;;
GetOrder;01.01.23 16:13;01.01.23 16:13;;;
GetOrder;01.01.23 16:25;01.01.23 16:26;;;
GetItemList;01.01.23 16:38;01.01.23 16:38;;;
ModifyOrder;01.01.23 16:51;01.01.23 16:51;;;
SendNotification;01.01.23 17:04;01.01.23 17:04;;;
GetTrackingData;01.01.23 17:17;01.01.23 17:17;;;
GetPaymentList;1/1/2023 17:30:16.050;01.01.23 17:30;;;
SendNotification;01.01.23 17:43;01.01.23 17:43;;;
GetTrackingData;01.01.23 17:55;01.01.23 17:56;;;
GetTrackingData;01.01.23 18:08;01.01.23 18:08;;;
GetTrackingData;01.01.23 18:34;01.01.23 18:34;;;
GetOrderList;01.01.23 19:00;01.01.23 19:00;;;
AddItemToOrder;01.01.23 19:13;01.01.23 19:13;;;
SendNotification;01.01.23 19:25;01.01.23 19:25;;;
ModifyOrder;01.01.23 19:38;01.01.23 19:38;;;
SendNotification;01.01.23 19:51;01.01.23 19:51;;;
SetPayment;01.01.23 20:04;01.01.23 20:04;;;
GetItemList;1/1/2023 20:17:22.040;01.01.23 20:17;;;
GetItemList;01.01.23 20:30;01.01.23 20:30;;;
GetOrder;01.01.23 20:43;01.01.23 20:43;;;
GetOrder;01.01.23 20:55;01.01.23 20:55;;;
GetOrderList;01.01.23 21:08;01.01.23 21:08;;;
GetTrackingData;01.01.23 21:21;01.01.23 21:21;;;
GetPaymentList;01.01.23 21:34;01.01.23 21:34;;;
GetTrackingData;01.01.23 21:47;01.01.23 21:47;;;
ModifyOrder;01.01.23 22:00;01.01.23 22:00;;;
GetItem;01.01.23 22:13;01.01.23 22:13;;;
GetOrderList;01.01.23 22:25;01.01.23 22:25;;;
ModifyOrder;01.01.23 22:38;01.01.23 22:38;;;
Login;01.01.23 22:51;01.01.23 22:51;;;
GetPaymentMethods;1/1/2023 23:04:28.030;01.01.23 23:04;;;
GetTrackingData;01.01.23 23:17;01.01.23 23:17;;;
GetPaymentMethods;01.01.23 23:30;01.01.23 23:30;;;
SetPayment;01.01.23 23:43;01.01.23 23:43;;;
AddItemToOrder;01.01.23 23:55;01.01.23 23:55;;;
GetTrackingData;02.01.23 00:08;02.01.23 00:08;;;
GetOrder;02.01.23 00:34;02.01.23 00:34;;;
SetPayment;02.01.23 00:47;02.01.23 00:47;;;
